Year,Units,Value
2010,"ODA (gross disbursements) for other related water and sanitation purposes (Mn USD, constant prices (2016))",52.6
2011,"ODA (gross disbursements) for other related water and sanitation purposes (Mn USD, constant prices (2016))",97.8
2012,"ODA (gross disbursements) for other related water and sanitation purposes (Mn USD, constant prices (2016))",71.9
2013,"ODA (gross disbursements) for other related water and sanitation purposes (Mn USD, constant prices (2016))",64.5
2014,"ODA (gross disbursements) for other related water and sanitation purposes (Mn USD, constant prices (2016))",65.1
2015,"ODA (gross disbursements) for other related water and sanitation purposes (Mn USD, constant prices (2016))",28.1
2016,"ODA (gross disbursements) for other related water and sanitation purposes (Mn USD, constant prices (2016))",25.0
2017,"ODA (gross disbursements) for other related water and sanitation purposes (Mn USD, constant prices (2016))",16.8
2018,"ODA (gross disbursements) for other related water and sanitation purposes (Mn USD, constant prices (2016))",
2010,"ODA (gross disbursements) for water and sanitation (Mn USD, constant prices (2016))",591.9
2011,"ODA (gross disbursements) for water and sanitation (Mn USD, constant prices (2016))",678.8
2012,"ODA (gross disbursements) for water and sanitation (Mn USD, constant prices (2016))",589.6
2013,"ODA (gross disbursements) for water and sanitation (Mn USD, constant prices (2016))",643.3
2014,"ODA (gross disbursements) for water and sanitation (Mn USD, constant prices (2016))",855.6
2015,"ODA (gross disbursements) for water and sanitation (Mn USD, constant prices (2016))",927.4
2016,"ODA (gross disbursements) for water and sanitation (Mn USD, constant prices (2016))",923.3
2017,"ODA (gross disbursements) for water and sanitation (Mn USD, constant prices (2016))",932.9
2018,"ODA (gross disbursements) for water and sanitation (Mn USD, constant prices (2016))",
