Year,Value,Series
2010,43360,authorized imports and exports of protected species
2011,43358,authorized imports and exports of protected species
2012,48560,authorized imports and exports of protected species
2013,44725,authorized imports and exports of protected species
2014,49402,authorized imports and exports of protected species
2015,47345,authorized imports and exports of protected species
2016,49693,authorized imports and exports of protected species
2017,56142,authorized imports and exports of protected species
2018,59427,authorized imports and exports of protected species
2019,58727,authorized imports and exports of protected species
2020,42911,authorized imports and exports of protected species
2021,49399,authorized imports and exports of protected species
2022,49124,authorized imports and exports of protected species
2023,44728,authorized imports and exports of protected species
2010,946,seizures by authorities concerning the protection of species
2011,935,seizures by authorities concerning the protection of species
2012,811,seizures by authorities concerning the protection of species
2013,748,seizures by authorities concerning the protection of species
2014,692,seizures by authorities concerning the protection of species
2015,1159,seizures by authorities concerning the protection of species
2016,833,seizures by authorities concerning the protection of species
2017,903,seizures by authorities concerning the protection of species
2018,1249,seizures by authorities concerning the protection of species
2019,1440,seizures by authorities concerning the protection of species
2020,1234,seizures by authorities concerning the protection of species
2021,1114,seizures by authorities concerning the protection of species
2022,1027,seizures by authorities concerning the protection of species
