Year,Units,age group,sex,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2020,"per 100,000 inhabitants",35 to under 45 years,,,,,2.1
2021,"per 100,000 inhabitants",35 to under 45 years,,,,,1.78
2022,"per 100,000 inhabitants",35 to under 45 years,,,,,1.99
2023,"per 100,000 inhabitants",35 to under 45 years,,,,,2.24
2024,"per 100,000 inhabitants",35 to under 45 years,,,,,2.27
2010,"per 100,000 inhabitants",45 to under 55 years,,,,,4.45
2011,"per 100,000 inhabitants",45 to under 55 years,,,,,4.84
2012,"per 100,000 inhabitants",45 to under 55 years,,,,,4.35
2013,"per 100,000 inhabitants",45 to under 55 years,,,,,4.05
2014,"per 100,000 inhabitants",45 to under 55 years,,,,,3.95
2015,"per 100,000 inhabitants",45 to under 55 years,,,,,3.92
2016,"per 100,000 inhabitants",45 to under 55 years,,,,,3.43
2017,"per 100,000 inhabitants",45 to under 55 years,,,,,3.42
2018,"per 100,000 inhabitants",45 to under 55 years,,,,,3.26
2019,"per 100,000 inhabitants",45 to under 55 years,,,,,2.9
2020,"per 100,000 inhabitants",45 to under 55 years,,,,,2.49
2021,"per 100,000 inhabitants",45 to under 55 years,,,,,2.55
2022,"per 100,000 inhabitants",45 to under 55 years,,,,,2.74
2023,"per 100,000 inhabitants",45 to under 55 years,,,,,2.43
2024,"per 100,000 inhabitants",45 to under 55 years,,,,,2.7
2010,"per 100,000 inhabitants",55 to under 65 years,,,,,3.8
2011,"per 100,000 inhabitants",55 to under 65 years,,,,,4.36
2012,"per 100,000 inhabitants",55 to under 65 years,,,,,4.2
2013,"per 100,000 inhabitants",55 to under 65 years,,,,,3.78
2014,"per 100,000 inhabitants",55 to under 65 years,,,,,3.96
2015,"per 100,000 inhabitants",55 to under 65 years,,,,,3.99
2016,"per 100,000 inhabitants",55 to under 65 years,,,,,3.43
2017,"per 100,000 inhabitants",55 to under 65 years,,,,,3.63
2018,"per 100,000 inhabitants",55 to under 65 years,,,,,4.2
2019,"per 100,000 inhabitants",55 to under 65 years,,,,,3.65
2020,"per 100,000 inhabitants",55 to under 65 years,,,,,3.35
2021,"per 100,000 inhabitants",55 to under 65 years,,,,,3.05
2022,"per 100,000 inhabitants",55 to under 65 years,,,,,3.3
2023,"per 100,000 inhabitants",55 to under 65 years,,,,,3.2
2024,"per 100,000 inhabitants",55 to under 65 years,,,,,3.22
2010,"per 100,000 inhabitants",65 to under 75 years,,,,,4.68
2011,"per 100,000 inhabitants",65 to under 75 years,,,,,5.32
2012,"per 100,000 inhabitants",65 to under 75 years,,,,,5.06
2013,"per 100,000 inhabitants",65 to under 75 years,,,,,4.82
2014,"per 100,000 inhabitants",65 to under 75 years,,,,,4.54
2015,"per 100,000 inhabitants",65 to under 75 years,,,,,4.19
2016,"per 100,000 inhabitants",65 to under 75 years,,,,,4.15
2017,"per 100,000 inhabitants",65 to under 75 years,,,,,3.89
2018,"per 100,000 inhabitants",65 to under 75 years,,,,,4.14
2019,"per 100,000 inhabitants",65 to under 75 years,,,,,3.86
2020,"per 100,000 inhabitants",65 to under 75 years,,,,,3.45
2021,"per 100,000 inhabitants",65 to under 75 years,,,,,3.48
2022,"per 100,000 inhabitants",65 to under 75 years,,,,,3.86
2023,"per 100,000 inhabitants",65 to under 75 years,,,,,3.73
2024,"per 100,000 inhabitants",65 to under 75 years,,,,,4.41
2010,"per 100,000 inhabitants",75 years and older,,,,,7.8
2011,"per 100,000 inhabitants",75 years and older,,,,,9.16
2012,"per 100,000 inhabitants",75 years and older,,,,,8.8
2013,"per 100,000 inhabitants",75 years and older,,,,,8.12
2014,"per 100,000 inhabitants",75 years and older,,,,,7.85
2015,"per 100,000 inhabitants",75 years and older,,,,,8.1
2016,"per 100,000 inhabitants",75 years and older,,,,,8.03
2017,"per 100,000 inhabitants",75 years and older,,,,,7.22
2018,"per 100,000 inhabitants",75 years and older,,,,,7.34
2019,"per 100,000 inhabitants",75 years and older,,,,,7.07
2020,"per 100,000 inhabitants",75 years and older,,,,,6.09
2021,"per 100,000 inhabitants",75 years and older,,,,,5.68
2022,"per 100,000 inhabitants",75 years and older,,,,,6.98
2023,"per 100,000 inhabitants",75 years and older,,,,,7.21
2024,"per 100,000 inhabitants",75 years and older,,,,,7.23
2010,"per 100,000 inhabitants",,female,,,,2.49
2011,"per 100,000 inhabitants",,female,,,,2.66
2012,"per 100,000 inhabitants",,female,,,,2.45
2013,"per 100,000 inhabitants",,female,,,,2.21
2014,"per 100,000 inhabitants",,female,,,,2.04
2015,"per 100,000 inhabitants",,female,,,,2.05
2016,"per 100,000 inhabitants",,female,,,,1.93
2017,"per 100,000 inhabitants",,female,,,,1.82
2018,"per 100,000 inhabitants",,female,,,,1.75
2019,"per 100,000 inhabitants",,female,,,,1.6
2020,"per 100,000 inhabitants",,female,,,,1.42
2021,"per 100,000 inhabitants",,female,,,,1.17
2022,"per 100,000 inhabitants",,female,,,,1.43
2023,"per 100,000 inhabitants",,female,,,,1.5
2024,"per 100,000 inhabitants",,female,,,,1.54
2010,"per 100,000 inhabitants",,male,,,,6.99
2011,"per 100,000 inhabitants",,male,,,,7.92
2012,"per 100,000 inhabitants",,male,,,,7.22
2013,"per 100,000 inhabitants",,male,,,,6.52
2014,"per 100,000 inhabitants",,male,,,,6.51
2015,"per 100,000 inhabitants",,male,,,,6.32
2016,"per 100,000 inhabitants",,male,,,,5.65
2017,"per 100,000 inhabitants",,male,,,,5.37
2018,"per 100,000 inhabitants",,male,,,,5.73
2019,"per 100,000 inhabitants",,male,,,,5.19
2020,"per 100,000 inhabitants",,male,,,,4.69
2021,"per 100,000 inhabitants",,male,,,,4.45
2022,"per 100,000 inhabitants",,male,,,,4.78
2023,"per 100,000 inhabitants",,male,,,,4.61
2024,"per 100,000 inhabitants",,male,,,,4.97
2010,number,,,,,,3839.0
2011,number,,,,,,4197.0
2012,number,,,,,,3847.0
2013,number,,,,,,3482.0
2014,number,,,,,,3422.0
2015,number,,,,,,3377.0
2016,number,,,,,,3094.0
2017,number,,,,,,2934.0
2018,number,,,,,,3050.0
2019,number,,,,,,2774.0
2020,number,,,,,,2491.0
2021,number,,,,,,2292.0
2022,number,,,,,,2544.0
2023,number,,,,,,2533.0
2024,number,,,,,,2703.0
2010,number,14 years and younger,,,,,102.0
2011,number,14 years and younger,,,,,89.0
2012,number,14 years and younger,,,,,75.0
2013,number,14 years and younger,,,,,54.0
2014,number,14 years and younger,,,,,74.0
2015,number,14 years and younger,,,,,63.0
2016,number,14 years and younger,,,,,66.0
2017,number,14 years and younger,,,,,48.0
2018,number,14 years and younger,,,,,59.0
2019,number,14 years and younger,,,,,44.0
2020,number,14 years and younger,,,,,36.0
2021,number,14 years and younger,,,,,35.0
2022,number,14 years and younger,,,,,41.0
2023,number,14 years and younger,,,,,25.0
2024,number,14 years and younger,,,,,52.0
2010,number,15 to under 25 years,,,,,796.0
2011,number,15 to under 25 years,,,,,852.0
2012,number,15 to under 25 years,,,,,754.0
2013,number,15 to under 25 years,,,,,583.0
2014,number,15 to under 25 years,,,,,589.0
2015,number,15 to under 25 years,,,,,518.0
2016,number,15 to under 25 years,,,,,467.0
2017,number,15 to under 25 years,,,,,415.0
2018,number,15 to under 25 years,,,,,402.0
2019,number,15 to under 25 years,,,,,375.0
2020,number,15 to under 25 years,,,,,346.0
2021,number,15 to under 25 years,,,,,297.0
2022,number,15 to under 25 years,,,,,288.0
2023,number,15 to under 25 years,,,,,282.0
2024,number,15 to under 25 years,,,,,335.0
2010,number,25 to under 35 years,,,,,510.0
2011,number,25 to under 35 years,,,,,546.0
2012,number,25 to under 35 years,,,,,483.0
2013,number,25 to under 35 years,,,,,437.0
2014,number,25 to under 35 years,,,,,426.0
2015,number,25 to under 35 years,,,,,408.0
2016,number,25 to under 35 years,,,,,344.0
2017,number,25 to under 35 years,,,,,337.0
2018,number,25 to under 35 years,,,,,333.0
2019,number,25 to under 35 years,,,,,305.0
2020,number,25 to under 35 years,,,,,291.0
2021,number,25 to under 35 years,,,,,240.0
2022,number,25 to under 35 years,,,,,245.0
2023,number,25 to under 35 years,,,,,254.0
2024,number,25 to under 35 years,,,,,244.0
2010,number,35 to under 45 years,,,,,410.0
2011,number,35 to under 45 years,,,,,422.0
2012,number,35 to under 45 years,,,,,357.0
2013,number,35 to under 45 years,,,,,347.0
2014,number,35 to under 45 years,,,,,292.0
2015,number,35 to under 45 years,,,,,321.0
2016,number,35 to under 45 years,,,,,264.0
2017,number,35 to under 45 years,,,,,251.0
2018,number,35 to under 45 years,,,,,268.0
2019,number,35 to under 45 years,,,,,236.0
2020,number,35 to under 45 years,,,,,214.0
2021,number,35 to under 45 years,,,,,184.0
2022,number,35 to under 45 years,,,,,210.0
2023,number,35 to under 45 years,,,,,243.0
2024,number,35 to under 45 years,,,,,250.0
2010,number,45 to under 55 years,,,,,588.0
2011,number,45 to under 55 years,,,,,639.0
2012,number,45 to under 55 years,,,,,583.0
2013,number,45 to under 55 years,,,,,547.0
2014,number,45 to under 55 years,,,,,535.0
2015,number,45 to under 55 years,,,,,529.0
2016,number,45 to under 55 years,,,,,457.0
2017,number,45 to under 55 years,,,,,446.0
2018,number,45 to under 55 years,,,,,412.0
2019,number,45 to under 55 years,,,,,353.0
2020,number,45 to under 55 years,,,,,291.0
2021,number,45 to under 55 years,,,,,287.0
2022,number,45 to under 55 years,,,,,298.0
2023,number,45 to under 55 years,,,,,258.0
2024,number,45 to under 55 years,,,,,279.0
2010,number,55 to under 65 years,,,,,377.0
2011,number,55 to under 65 years,,,,,442.0
2012,number,55 to under 65 years,,,,,438.0
2013,number,55 to under 65 years,,,,,403.0
2014,number,55 to under 65 years,,,,,431.0
2015,number,55 to under 65 years,,,,,443.0
2016,number,55 to under 65 years,,,,,389.0
2017,number,55 to under 65 years,,,,,421.0
2018,number,55 to under 65 years,,,,,499.0
2019,number,55 to under 65 years,,,,,444.0
2020,number,55 to under 65 years,,,,,416.0
2021,number,55 to under 65 years,,,,,385.0
2022,number,55 to under 65 years,,,,,424.0
2023,number,55 to under 65 years,,,,,416.0
2024,number,55 to under 65 years,,,,,420.0
2010,number,65 to under 75 years,,,,,443.0
2011,number,65 to under 75 years,,,,,482.0
2012,number,65 to under 75 years,,,,,448.0
2013,number,65 to under 75 years,,,,,417.0
2014,number,65 to under 75 years,,,,,385.0
2015,number,65 to under 75 years,,,,,349.0
2016,number,65 to under 75 years,,,,,341.0
2017,number,65 to under 75 years,,,,,320.0
2018,number,65 to under 75 years,,,,,344.0
2019,number,65 to under 75 years,,,,,325.0
2020,number,65 to under 75 years,,,,,299.0
2021,number,65 to under 75 years,,,,,312.0
2022,number,65 to under 75 years,,,,,356.0
2023,number,65 to under 75 years,,,,,353.0
2024,number,65 to under 75 years,,,,,426.0
2010,number,75 years and older,,,,,578.0
2011,number,75 years and older,,,,,689.0
2012,number,75 years and older,,,,,687.0
2013,number,75 years and older,,,,,658.0
2014,number,75 years and older,,,,,663.0
2015,number,75 years and older,,,,,713.0
2016,number,75 years and older,,,,,731.0
2017,number,75 years and older,,,,,670.0
2018,number,75 years and older,,,,,687.0
2019,number,75 years and older,,,,,667.0
2020,number,75 years and older,,,,,571.0
2021,number,75 years and older,,,,,524.0
2022,number,75 years and older,,,,,638.0
2023,number,75 years and older,,,,,658.0
2024,number,75 years and older,,,,,664.0
2010,number,,female,,,,1038.0
2011,number,,female,,,,1092.0
2012,number,,female,,,,1008.0
2013,number,,female,,,,909.0
2014,number,,female,,,,839.0
2015,number,,female,,,,846.0
2016,number,,female,,,,803.0
2017,number,,female,,,,755.0
2018,number,,female,,,,727.0
2019,number,,female,,,,666.0
2020,number,,female,,,,592.0
2021,number,,female,,,,488.0
2022,number,,female,,,,600.0
2023,number,,female,,,,635.0
2024,number,,female,,,,653.0
2010,number,,male,,,,2801.0
2011,number,,male,,,,3103.0
2012,number,,male,,,,2837.0
2013,number,,male,,,,2569.0
2014,number,,male,,,,2577.0
2015,number,,male,,,,2529.0
2016,number,,male,,,,2282.0
2017,number,,male,,,,2174.0
2018,number,,male,,,,2322.0
2019,number,,male,,,,2103.0
2020,number,,male,,,,1898.0
2021,number,,male,,,,1797.0
2022,number,,male,,,,1944.0
2023,number,,male,,,,1894.0
2024,number,,male,,,,2048.0
