Year,Units,Type of financial flow,Type of Official Development Assistance,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2024,Million EUR,Official Development Assistance,Gross disbursements,,,,2289.163
2010,Million EUR,Other Official Flows,Commitments,‒,,,0.0
2011,Million EUR,Other Official Flows,Commitments,‒,,,0.0
2012,Million EUR,Other Official Flows,Commitments,‒,,,0.0
2013,Million EUR,Other Official Flows,Commitments,‒,,,0.0
2014,Million EUR,Other Official Flows,Commitments,‒,,,0.0
2015,Million EUR,Other Official Flows,Commitments,‒,,,0.0
2016,Million EUR,Other Official Flows,Commitments,‒,,,0.0
2017,Million EUR,Other Official Flows,Commitments,‒,,,0.0
2018,Million EUR,Other Official Flows,Commitments,,,,154.328
2019,Million EUR,Other Official Flows,Commitments,,,,127.103
2020,Million EUR,Other Official Flows,Commitments,,,,75.393
2021,Million EUR,Other Official Flows,Commitments,,,,78.947
2022,Million EUR,Other Official Flows,Commitments,,,,145.982
2023,Million EUR,Other Official Flows,Commitments,‒,,,0.0
2024,Million EUR,Other Official Flows,Commitments,‒,,,0.0
2010,Million EUR,Other Official Flows,Gross disbursements,‒,,,0.0
2011,Million EUR,Other Official Flows,Gross disbursements,‒,,,0.0
2012,Million EUR,Other Official Flows,Gross disbursements,‒,,,0.0
2013,Million EUR,Other Official Flows,Gross disbursements,‒,,,0.0
2014,Million EUR,Other Official Flows,Gross disbursements,‒,,,0.0
2015,Million EUR,Other Official Flows,Gross disbursements,‒,,,0.0
2016,Million EUR,Other Official Flows,Gross disbursements,‒,,,0.0
2017,Million EUR,Other Official Flows,Gross disbursements,‒,,,0.0
2018,Million EUR,Other Official Flows,Gross disbursements,,,,154.328
2019,Million EUR,Other Official Flows,Gross disbursements,,,,127.103
2020,Million EUR,Other Official Flows,Gross disbursements,,,,75.393
2021,Million EUR,Other Official Flows,Gross disbursements,,,,78.947
2022,Million EUR,Other Official Flows,Gross disbursements,,,,145.982
2023,Million EUR,Other Official Flows,Gross disbursements,‒,,,0.0
2024,Million EUR,Other Official Flows,Gross disbursements,‒,,,0.0
2010,"Million USD, constant prices (2024)",Official Development Assistance,Commitments,,,,2756.908
2011,"Million USD, constant prices (2024)",Official Development Assistance,Commitments,,,,1677.314
2012,"Million USD, constant prices (2024)",Official Development Assistance,Commitments,,,,1440.464
2013,"Million USD, constant prices (2024)",Official Development Assistance,Commitments,,,,1857.122
2014,"Million USD, constant prices (2024)",Official Development Assistance,Commitments,,,,4153.313
2015,"Million USD, constant prices (2024)",Official Development Assistance,Commitments,,,,2498.61
2016,"Million USD, constant prices (2024)",Official Development Assistance,Commitments,,,,2934.237
2017,"Million USD, constant prices (2024)",Official Development Assistance,Commitments,,,,2372.566
2018,"Million USD, constant prices (2024)",Official Development Assistance,Commitments,,,,3312.599
2019,"Million USD, constant prices (2024)",Official Development Assistance,Commitments,,,,1653.515
2020,"Million USD, constant prices (2024)",Official Development Assistance,Commitments,,,,1578.581
2021,"Million USD, constant prices (2024)",Official Development Assistance,Commitments,,,,1582.815
2022,"Million USD, constant prices (2024)",Official Development Assistance,Commitments,,,,3803.987
2023,"Million USD, constant prices (2024)",Official Development Assistance,Commitments,,,,2923.539
2024,"Million USD, constant prices (2024)",Official Development Assistance,Commitments,,,,2034.294
2010,"Million USD, constant prices (2024)",Official Development Assistance,Gross disbursements,,,,1463.13
2011,"Million USD, constant prices (2024)",Official Development Assistance,Gross disbursements,,,,1053.209
2012,"Million USD, constant prices (2024)",Official Development Assistance,Gross disbursements,,,,799.635
2013,"Million USD, constant prices (2024)",Official Development Assistance,Gross disbursements,,,,1307.328
2014,"Million USD, constant prices (2024)",Official Development Assistance,Gross disbursements,,,,1685.418
2015,"Million USD, constant prices (2024)",Official Development Assistance,Gross disbursements,,,,2163.672
2016,"Million USD, constant prices (2024)",Official Development Assistance,Gross disbursements,,,,2109.337
2017,"Million USD, constant prices (2024)",Official Development Assistance,Gross disbursements,,,,1738.187
2018,"Million USD, constant prices (2024)",Official Development Assistance,Gross disbursements,,,,1874.271
2019,"Million USD, constant prices (2024)",Official Development Assistance,Gross disbursements,,,,1685.685
2020,"Million USD, constant prices (2024)",Official Development Assistance,Gross disbursements,,,,1892.305
2021,"Million USD, constant prices (2024)",Official Development Assistance,Gross disbursements,,,,1618.747
2022,"Million USD, constant prices (2024)",Official Development Assistance,Gross disbursements,,,,2206.228
2023,"Million USD, constant prices (2024)",Official Development Assistance,Gross disbursements,,,,2111.164
2024,"Million USD, constant prices (2024)",Official Development Assistance,Gross disbursements,,,,2475.842
2010,"Million USD, constant prices (2024)",Other Official Flows,Commitments,‒,,,0.0
2011,"Million USD, constant prices (2024)",Other Official Flows,Commitments,‒,,,0.0
2012,"Million USD, constant prices (2024)",Other Official Flows,Commitments,‒,,,0.0
2013,"Million USD, constant prices (2024)",Other Official Flows,Commitments,‒,,,0.0
2014,"Million USD, constant prices (2024)",Other Official Flows,Commitments,‒,,,0.0
2015,"Million USD, constant prices (2024)",Other Official Flows,Commitments,‒,,,0.0
2016,"Million USD, constant prices (2024)",Other Official Flows,Commitments,‒,,,0.0
2017,"Million USD, constant prices (2024)",Other Official Flows,Commitments,‒,,,0.0
2018,"Million USD, constant prices (2024)",Other Official Flows,Commitments,,,,208.3
2019,"Million USD, constant prices (2024)",Other Official Flows,Commitments,,,,168.169
2020,"Million USD, constant prices (2024)",Other Official Flows,Commitments,,,,98.033
2021,"Million USD, constant prices (2024)",Other Official Flows,Commitments,,,,99.965
2022,"Million USD, constant prices (2024)",Other Official Flows,Commitments,,,,173.693
2023,"Million USD, constant prices (2024)",Other Official Flows,Commitments,‒,,,0.0
2024,"Million USD, constant prices (2024)",Other Official Flows,Commitments,‒,,,0.0
2010,"Million USD, constant prices (2024)",Other Official Flows,Gross disbursements,.,,,0.0
2011,"Million USD, constant prices (2024)",Other Official Flows,Gross disbursements,.,,,0.0
2012,"Million USD, constant prices (2024)",Other Official Flows,Gross disbursements,.,,,0.0
2013,"Million USD, constant prices (2024)",Other Official Flows,Gross disbursements,.,,,0.0
2014,"Million USD, constant prices (2024)",Other Official Flows,Gross disbursements,.,,,0.0
2015,"Million USD, constant prices (2024)",Other Official Flows,Gross disbursements,.,,,0.0
2016,"Million USD, constant prices (2024)",Other Official Flows,Gross disbursements,‒,,,0.0
2017,"Million USD, constant prices (2024)",Other Official Flows,Gross disbursements,‒,,,0.0
2018,"Million USD, constant prices (2024)",Other Official Flows,Gross disbursements,,,,208.3
2019,"Million USD, constant prices (2024)",Other Official Flows,Gross disbursements,,,,168.169
2020,"Million USD, constant prices (2024)",Other Official Flows,Gross disbursements,,,,98.033
2021,"Million USD, constant prices (2024)",Other Official Flows,Gross disbursements,,,,99.965
2022,"Million USD, constant prices (2024)",Other Official Flows,Gross disbursements,,,,173.693
2023,"Million USD, constant prices (2024)",Other Official Flows,Gross disbursements,‒,,,0.0
2024,"Million USD, constant prices (2024)",Other Official Flows,Gross disbursements,‒,,,0.0
